Epoch,Steps,Full Gradient Norm
1,391,nan
2,782,nan
3,1173,nan
4,1564,nan
5,1955,nan
6,2346,nan
7,2737,nan
8,3128,nan
9,3519,nan
10,3910,nan
11,4301,nan
12,4692,nan
13,5083,nan
14,5474,nan
15,5865,nan
16,6256,nan
17,6647,nan
18,7038,nan
19,7429,nan
20,7820,nan
21,8211,nan
22,8602,nan
23,8993,nan
24,9384,nan
25,9775,nan
26,10166,nan
27,10557,nan
28,10948,nan
29,11339,nan
30,11730,nan
31,12121,nan
32,12512,nan
33,12903,nan
34,13294,nan
35,13685,nan
36,14076,nan
37,14467,nan
38,14858,nan
39,15249,nan
40,15640,nan
41,16031,nan
42,16422,nan
43,16813,nan
44,17204,nan
45,17595,nan
46,17986,nan
47,18377,nan
48,18768,nan
49,19159,nan
50,19550,nan
51,19941,nan
52,20332,nan
53,20723,nan
54,21114,nan
55,21505,nan
56,21896,nan
57,22287,nan
58,22678,nan
59,23069,nan
60,23460,nan
61,23851,nan
62,24242,nan
63,24633,nan
64,25024,nan
65,25415,nan
66,25806,nan
67,26197,nan
68,26588,nan
69,26979,nan
70,27370,nan
71,27761,nan
72,28152,nan
73,28543,nan
74,28934,nan
75,29325,nan
76,29716,nan
77,30107,nan
78,30498,nan
79,30889,nan
80,31280,nan
81,31671,nan
82,32062,nan
83,32453,nan
84,32844,nan
85,33235,nan
86,33626,nan
87,34017,nan
88,34408,nan
89,34799,nan
90,35190,nan
91,35581,nan
92,35972,nan
93,36363,nan
94,36754,nan
95,37145,nan
96,37536,nan
97,37927,nan
98,38318,nan
99,38709,nan
100,39100,nan
101,39491,nan
102,39882,nan
103,40273,nan
104,40664,nan
105,41055,nan
106,41446,nan
107,41837,nan
108,42228,nan
109,42619,nan
110,43010,nan
111,43401,nan
112,43792,nan
113,44183,nan
114,44574,nan
115,44965,nan
116,45356,nan
117,45747,nan
118,46138,nan
119,46529,nan
120,46920,nan
121,47311,nan
122,47702,nan
123,48093,nan
124,48484,nan
125,48875,nan
126,49266,nan
127,49657,nan
128,50048,nan
129,50439,nan
130,50830,nan
131,51221,nan
132,51612,nan
133,52003,nan
134,52394,nan
135,52785,nan
136,53176,nan
137,53567,nan
138,53958,nan
139,54349,nan
140,54740,nan
141,55131,nan
142,55522,nan
143,55913,nan
144,56304,nan
145,56695,nan
146,57086,nan
147,57477,nan
148,57868,nan
149,58259,nan
150,58650,nan
151,59041,nan
152,59432,nan
153,59823,nan
154,60214,nan
155,60605,nan
156,60996,nan
157,61387,nan
158,61778,nan
159,62169,nan
160,62560,nan
161,62951,nan
162,63342,nan
163,63733,nan
164,64124,nan
165,64515,nan
166,64906,nan
167,65297,nan
168,65688,nan
169,66079,nan
170,66470,nan
171,66861,nan
172,67252,nan
173,67643,nan
174,68034,nan
175,68425,nan
176,68816,nan
177,69207,nan
178,69598,nan
179,69989,nan
180,70380,nan
181,70771,nan
182,71162,nan
183,71553,nan
184,71944,nan
185,72335,nan
186,72726,nan
187,73117,nan
188,73508,nan
189,73899,nan
190,74290,nan
191,74681,nan
192,75072,nan
193,75463,nan
194,75854,nan
195,76245,nan
196,76636,nan
197,77027,nan
198,77418,nan
199,77809,nan
200,78200,nan
201,78591,nan
202,78982,nan
203,79373,nan
204,79764,nan
205,80155,nan
206,80546,nan
207,80937,nan
208,81328,nan
209,81719,nan
210,82110,nan
211,82501,nan
212,82892,nan
213,83283,nan
214,83674,nan
215,84065,nan
216,84456,nan
217,84847,nan
218,85238,nan
219,85629,nan
220,86020,nan
221,86411,nan
222,86802,nan
223,87193,nan
224,87584,nan
225,87975,nan
226,88366,nan
227,88757,nan
228,89148,nan
229,89539,nan
230,89930,nan
231,90321,nan
232,90712,nan
233,91103,nan
234,91494,nan
235,91885,nan
236,92276,nan
237,92667,nan
238,93058,nan
239,93449,nan
240,93840,nan
241,94231,nan
242,94622,nan
243,95013,nan
244,95404,nan
245,95795,nan
246,96186,nan
247,96577,nan
248,96968,nan
249,97359,nan
250,97750,nan
251,98141,nan
252,98532,nan
253,98923,nan
254,99314,nan
255,99705,nan
256,100096,nan
257,100487,nan
258,100878,nan
259,101269,nan
260,101660,nan
261,102051,nan
262,102442,nan
263,102833,nan
264,103224,nan
265,103615,nan
266,104006,nan
267,104397,nan
268,104788,nan
269,105179,nan
270,105570,nan
271,105961,nan
272,106352,nan
273,106743,nan
274,107134,nan
275,107525,nan
276,107916,nan
277,108307,nan
278,108698,nan
279,109089,nan
280,109480,nan
281,109871,nan
282,110262,nan
283,110653,nan
284,111044,nan
285,111435,nan
286,111826,nan
287,112217,nan
288,112608,nan
289,112999,nan
290,113390,nan
291,113781,nan
292,114172,nan
293,114563,nan
294,114954,nan
295,115345,nan
296,115736,nan
297,116127,nan
298,116518,nan
299,116909,nan
300,117300,nan
