Epoch,Steps,Train Loss,Train Accuracy,Learning Rate
1,391,nan,1.012,0.1
2,782,nan,1.0,0.1
3,1173,nan,1.0,0.1
4,1564,nan,1.0,0.1
5,1955,nan,1.0,0.1
6,2346,nan,1.0,0.1
7,2737,nan,1.0,0.1
8,3128,nan,1.0,0.1
9,3519,nan,1.0,0.1
10,3910,nan,1.0,0.1
11,4301,nan,1.0,0.1
12,4692,nan,1.0,0.1
13,5083,nan,1.0,0.1
14,5474,nan,1.0,0.1
15,5865,nan,1.0,0.1
16,6256,nan,1.0,0.1
17,6647,nan,1.0,0.1
18,7038,nan,1.0,0.1
19,7429,nan,1.0,0.1
20,7820,nan,1.0,0.1
21,8211,nan,1.0,0.1
22,8602,nan,1.0,0.1
23,8993,nan,1.0,0.1
24,9384,nan,1.0,0.1
25,9775,nan,1.0,0.1
26,10166,nan,1.0,0.1
27,10557,nan,1.0,0.1
28,10948,nan,1.0,0.1
29,11339,nan,1.0,0.1
30,11730,nan,1.0,0.1
31,12121,nan,1.0,0.1
32,12512,nan,1.0,0.1
33,12903,nan,1.0,0.1
34,13294,nan,1.0,0.1
35,13685,nan,1.0,0.1
36,14076,nan,1.0,0.1
37,14467,nan,1.0,0.1
38,14858,nan,1.0,0.1
39,15249,nan,1.0,0.1
40,15640,nan,1.0,0.1
41,16031,nan,1.0,0.1
42,16422,nan,1.0,0.1
43,16813,nan,1.0,0.1
44,17204,nan,1.0,0.1
45,17595,nan,1.0,0.1
46,17986,nan,1.0,0.1
47,18377,nan,1.0,0.1
48,18768,nan,1.0,0.1
49,19159,nan,1.0,0.1
50,19550,nan,1.0,0.1
51,19941,nan,1.0,0.1
52,20332,nan,1.0,0.1
53,20723,nan,1.0,0.1
54,21114,nan,1.0,0.1
55,21505,nan,1.0,0.1
56,21896,nan,1.0,0.1
57,22287,nan,1.0,0.1
58,22678,nan,1.0,0.1
59,23069,nan,1.0,0.1
60,23460,nan,1.0,0.1
61,23851,nan,1.0,0.1
62,24242,nan,1.0,0.1
63,24633,nan,1.0,0.1
64,25024,nan,1.0,0.1
65,25415,nan,1.0,0.1
66,25806,nan,1.0,0.1
67,26197,nan,1.0,0.1
68,26588,nan,1.0,0.1
69,26979,nan,1.0,0.1
70,27370,nan,1.0,0.1
71,27761,nan,1.0,0.1
72,28152,nan,1.0,0.1
73,28543,nan,1.0,0.1
74,28934,nan,1.0,0.1
75,29325,nan,1.0,0.1
76,29716,nan,1.0,0.1
77,30107,nan,1.0,0.1
78,30498,nan,1.0,0.1
79,30889,nan,1.0,0.1
80,31280,nan,1.0,0.1
81,31671,nan,1.0,0.1
82,32062,nan,1.0,0.1
83,32453,nan,1.0,0.1
