Epoch,Steps,Train Loss,Train Accuracy,Learning Rate
1,391,nan,0.99,0.09966666666666668
2,782,nan,1.0,0.09933333333333333
3,1173,nan,1.0,0.099
4,1564,nan,1.0,0.09866666666666668
5,1955,nan,1.0,0.09833333333333333
6,2346,nan,1.0,0.098
7,2737,nan,1.0,0.09766666666666668
8,3128,nan,1.0,0.09733333333333334
9,3519,nan,1.0,0.097
10,3910,nan,1.0,0.09666666666666668
11,4301,nan,1.0,0.09633333333333334
12,4692,nan,1.0,0.096
13,5083,nan,1.0,0.09566666666666668
14,5474,nan,1.0,0.09533333333333334
15,5865,nan,1.0,0.095
16,6256,nan,1.0,0.09466666666666668
17,6647,nan,1.0,0.09433333333333334
18,7038,nan,1.0,0.094
19,7429,nan,1.0,0.09366666666666668
20,7820,nan,1.0,0.09333333333333334
21,8211,nan,1.0,0.093
22,8602,nan,1.0,0.09266666666666667
23,8993,nan,1.0,0.09233333333333334
24,9384,nan,1.0,0.09200000000000001
25,9775,nan,1.0,0.09166666666666667
26,10166,nan,1.0,0.09133333333333334
27,10557,nan,1.0,0.09100000000000001
28,10948,nan,1.0,0.09066666666666667
29,11339,nan,1.0,0.09033333333333333
30,11730,nan,1.0,0.09000000000000001
31,12121,nan,1.0,0.08966666666666667
32,12512,nan,1.0,0.08933333333333333
33,12903,nan,1.0,0.08900000000000001
34,13294,nan,1.0,0.08866666666666667
35,13685,nan,1.0,0.08833333333333333
36,14076,nan,1.0,0.08800000000000001
37,14467,nan,1.0,0.08766666666666667
38,14858,nan,1.0,0.08733333333333333
39,15249,nan,1.0,0.08700000000000001
40,15640,nan,1.0,0.08666666666666667
41,16031,nan,1.0,0.08633333333333333
42,16422,nan,1.0,0.08600000000000001
43,16813,nan,1.0,0.08566666666666667
44,17204,nan,1.0,0.08533333333333333
45,17595,nan,1.0,0.085
46,17986,nan,1.0,0.08466666666666667
47,18377,nan,1.0,0.08433333333333333
48,18768,nan,1.0,0.084
49,19159,nan,1.0,0.08366666666666667
50,19550,nan,1.0,0.08333333333333334
51,19941,nan,1.0,0.083
52,20332,nan,1.0,0.08266666666666667
53,20723,nan,1.0,0.08233333333333334
54,21114,nan,1.0,0.08200000000000002
55,21505,nan,1.0,0.08166666666666667
56,21896,nan,1.0,0.08133333333333334
57,22287,nan,1.0,0.08100000000000002
58,22678,nan,1.0,0.08066666666666666
59,23069,nan,1.0,0.08033333333333334
