Epoch,Steps,Train Loss,Train Accuracy,Learning Rate
1,6250,4.347715791015625,3.968,0.1
2,12500,3.7315008101654055,12.448,0.1
3,18750,3.273009184322357,20.23,0.1
4,25000,2.942561275291443,26.6,0.1
5,31250,2.67608527132988,31.84,0.1
6,37500,2.4561349788188935,36.352,0.1
7,43750,2.2750576664447784,40.446,0.1
8,50000,2.127960663576126,43.458,0.1
9,56250,2.007878277349472,46.354,0.1
10,62500,1.9072356176805496,48.452,0.1
11,68750,1.8236729463791848,50.46,0.1
12,75000,1.731490756006241,52.526,0.1
13,81250,1.667153783878088,54.076,0.1
14,87500,1.6114323544239997,55.338,0.1
15,93750,1.5453344017243384,57.15,0.1
16,100000,1.4910199860727786,58.132,0.1
17,106250,1.4386008692103625,59.264,0.1
18,112500,1.3878655943238736,60.934,0.1
19,118750,1.3534218284153938,61.516,0.1
20,125000,1.314310563993603,62.55,0.1
21,131250,1.2497387400019169,64.152,0.1
22,137500,1.229235536750853,64.704,0.1
23,143750,1.181764079988599,65.93,0.1
24,150000,1.1571765716579556,66.334,0.1
25,156250,1.1219242408159376,67.3,0.1
26,162500,1.0908626853737236,68.302,0.1
27,168750,1.0587402310689538,68.908,0.1
28,175000,1.0275271336241067,69.616,0.1
29,181250,1.0002024338194728,70.55,0.1
30,187500,0.9715453437441588,71.396,0.1
31,190625,0.6742872757148742,79.306,0.1
32,193750,0.6036120362019539,81.3,0.1
33,196875,0.5511148584115505,82.912,0.1
34,200000,0.5317226304066182,83.324,0.1
35,203125,0.5066647716110945,83.998,0.1
36,206250,0.4818318823707104,84.694,0.1
37,209375,0.4601029598736763,85.352,0.1
38,212500,0.4398325845709443,85.904,0.1
39,215625,0.4218897571593523,86.39,0.1
40,218750,0.4086869492062926,86.86,0.1
41,221875,0.3812579085993022,87.608,0.1
42,225000,0.37009922903507947,88.276,0.1
43,228125,0.3570564481750131,88.38,0.1
44,231250,0.35230944798782465,88.594,0.1
45,234375,0.33671404751345513,89.072,0.1
46,237500,0.3278609500321746,89.284,0.1
47,240625,0.3120209846504033,89.958,0.1
48,243750,0.30934503952331843,90.052,0.1
49,246875,0.29244511177070437,90.576,0.1
50,250000,0.2865971055648848,90.602,0.1
51,253125,0.28544698141604663,90.71,0.1
52,256250,0.2669227375341952,91.38,0.1
53,259375,0.26859406276099385,91.068,0.1
54,262500,0.26177816596060993,91.35,0.1
55,265625,0.2504277282167226,91.778,0.1
56,268750,0.24663450265020131,92.018,0.1
57,271875,0.24015486986748874,92.078,0.1
58,275000,0.22657420474527404,92.53,0.1
59,278125,0.22101570413617416,92.854,0.1
60,281250,0.2165651578436047,92.834,0.1
61,282813,0.11901421006269913,96.154,0.1
62,284376,0.09869430226307202,96.79,0.1
63,285939,0.08839690705970757,97.04,0.1
64,287502,0.08258181889046887,97.28,0.1
65,289065,0.07698928401040159,97.456,0.1
66,290628,0.06890593020523102,97.714,0.1
67,292191,0.07004533690838077,97.68,0.1
68,293754,0.0675037759953546,97.824,0.1
69,295317,0.06444593948185931,97.822,0.1
70,296880,0.059804730601193144,98.034,0.1
71,298443,0.05869614105694063,98.074,0.1
72,300006,0.05980908248577042,98.008,0.1
73,301569,0.05435604487120645,98.198,0.1
74,303132,0.058786987614707235,98.17,0.1
75,304695,0.05392795081473685,98.216,0.1
76,306258,0.05292276562597026,98.264,0.1
77,307821,0.05318858986655271,98.252,0.1
78,309384,0.0531444664330655,98.248,0.1
79,310947,0.048518805547705414,98.434,0.1
80,312510,0.04727605225393998,98.448,0.1
81,314073,0.04679794878934453,98.496,0.1
82,315636,0.045789532892646416,98.562,0.1
83,317199,0.044777148632273354,98.53,0.1
84,318762,0.044484098836485686,98.566,0.1
85,320325,0.045142961568379346,98.556,0.1
86,321888,0.04286193025801691,98.604,0.1
87,323451,0.04330628560741282,98.584,0.1
88,325014,0.04041933016556782,98.706,0.1
89,326577,0.04252850743338845,98.566,0.1
90,328140,0.03997727248631142,98.704,0.1
91,328922,0.024420981823220788,99.212,0.1
92,329704,0.023363670737133062,99.22,0.1
93,330486,0.021492898975715727,99.322,0.1
94,331268,0.01927779631634035,99.38,0.1
95,332050,0.019737222168432034,99.396,0.1
96,332832,0.019369301930367067,99.39,0.1
97,333614,0.017978943878939002,99.444,0.1
98,334396,0.017714509955066068,99.422,0.1
99,335178,0.016736134121537922,99.5,0.1
100,335960,0.0169805491587583,99.464,0.1
101,336742,0.016477600457352203,99.496,0.1
102,337524,0.016931091131803386,99.49,0.1
103,338306,0.01697984711883966,99.502,0.1
104,339088,0.016708687363008064,99.458,0.1
105,339870,0.01684730074043437,99.478,0.1
106,340652,0.01575439525547091,99.504,0.1
107,341434,0.015214151953925531,99.524,0.1
108,342216,0.015209136924700743,99.534,0.1
109,342998,0.01396451701548637,99.556,0.1
110,343780,0.01417657217876006,99.558,0.1
111,344562,0.014118456862802642,99.568,0.1
112,345344,0.014296608493605907,99.546,0.1
113,346126,0.01427660357375877,99.564,0.1
114,346908,0.014063129102524422,99.584,0.1
115,347690,0.013312103309700757,99.608,0.1
116,348472,0.014548602957969836,99.52,0.1
117,349254,0.012668857425230953,99.6,0.1
118,350036,0.011833198720437732,99.62,0.1
119,350818,0.012819800709830978,99.628,0.1
120,351600,0.013185132153728522,99.578,0.1
121,351991,0.009530336625547722,99.716,0.1
122,352382,0.009525822038511279,99.706,0.1
123,352773,0.00957752210533936,99.712,0.1
124,353164,0.008528694789625925,99.72,0.1
125,353555,0.008618767340512722,99.762,0.1
126,353946,0.008126593741510585,99.748,0.1
127,354337,0.00806871776552716,99.768,0.1
128,354728,0.009180234804990061,99.712,0.1
129,355119,0.008906866934777493,99.724,0.1
130,355510,0.008340565932710962,99.732,0.1
131,355901,0.00779953186766154,99.748,0.1
132,356292,0.007901305891409674,99.742,0.1
133,356683,0.007942953656720536,99.772,0.1
134,357074,0.007083611974656127,99.79,0.1
135,357465,0.008264857607529215,99.72,0.1
136,357856,0.00792296986822682,99.786,0.1
137,358247,0.008394834858885206,99.744,0.1
138,358638,0.00631966448464619,99.814,0.1
139,359029,0.007736370758251156,99.746,0.1
140,359420,0.00743021973689525,99.768,0.1
141,359811,0.0067864309509863595,99.776,0.1
142,360202,0.0075337446019764455,99.754,0.1
143,360593,0.00705222683587133,99.814,0.1
144,360984,0.006604384508585651,99.802,0.1
145,361375,0.007481718478087798,99.794,0.1
146,361766,0.0070524960399761345,99.824,0.1
147,362157,0.007384036077641111,99.768,0.1
148,362548,0.0075281916804465195,99.77,0.1
149,362939,0.006992910375438697,99.812,0.1
150,363330,0.006814696171167343,99.766,0.1
151,363526,0.006244398186064078,99.82,0.1
152,363722,0.005825482583420627,99.816,0.1
153,363918,0.0051130023075158385,99.836,0.1
154,364114,0.006110169063559829,99.816,0.1
155,364310,0.006809983824050691,99.808,0.1
156,364506,0.005293328238993275,99.852,0.1
157,364702,0.00644709525495644,99.79,0.1
158,364898,0.005907575777590475,99.812,0.1
159,365094,0.0054278207866520125,99.838,0.1
160,365290,0.005771475484296537,99.842,0.1
161,365486,0.005107557523415937,99.848,0.1
162,365682,0.005631956190603775,99.826,0.1
163,365878,0.0056020851286807645,99.844,0.1
164,366074,0.005737720209272455,99.824,0.1
165,366270,0.005549121443603939,99.85,0.1
166,366466,0.005505551779773372,99.84,0.1
167,366662,0.005709040991971459,99.834,0.1
168,366858,0.005414454543509292,99.824,0.1
169,367054,0.0049914523125543,99.84,0.1
170,367250,0.00564605526359424,99.846,0.1
171,367446,0.005643278563054212,99.86,0.1
172,367642,0.005236685562615131,99.854,0.1
173,367838,0.004608111424556915,99.856,0.1
174,368034,0.005272694742212034,99.836,0.1
175,368230,0.004823892728047807,99.844,0.1
176,368426,0.00482016446054628,99.862,0.1
177,368622,0.004996586186521478,99.83,0.1
178,368818,0.005436796838508525,99.852,0.1
179,369014,0.005608759658756827,99.836,0.1
180,369210,0.005020531432077108,99.846,0.1
181,369308,0.005280639065134966,99.848,0.1
182,369406,0.0046408995017836975,99.85,0.1
183,369504,0.0052012178615657425,99.854,0.1
184,369602,0.004605272308476649,99.86,0.1
185,369700,0.004272273754135573,99.866,0.1
186,369798,0.004387167660752311,99.866,0.1
187,369896,0.004829553285273913,99.858,0.1
188,369994,0.0049755436086751596,99.858,0.1
189,370092,0.004438207797202453,99.854,0.1
190,370190,0.004401554210985802,99.856,0.1
191,370288,0.005002334400921186,99.844,0.1
192,370386,0.004637087131042642,99.868,0.1
193,370484,0.004599804533835576,99.864,0.1
194,370582,0.005232773579856647,99.812,0.1
195,370680,0.004413397676829363,99.85,0.1
196,370778,0.005078494099173125,99.846,0.1
197,370876,0.004811769050524608,99.828,0.1
198,370974,0.004998974456352049,99.842,0.1
199,371072,0.004579297742065118,99.872,0.1
200,371170,0.004023007439135821,99.89,0.1
201,371268,0.004739335973922886,99.85,0.1
202,371366,0.004491124992325369,99.844,0.1
203,371464,0.005264477030972817,99.862,0.1
204,371562,0.004949777976286655,99.86,0.1
205,371660,0.004303043204530769,99.878,0.1
206,371758,0.004577948037078794,99.866,0.1
207,371856,0.0043764657487056925,99.862,0.1
208,371954,0.00466978396954281,99.862,0.1
209,372052,0.004211106591819957,99.872,0.1
210,372150,0.004371246401391619,99.882,0.1
211,372199,0.004770494688644397,99.862,0.1
212,372248,0.004586662486556689,99.872,0.1
213,372297,0.0043283665566990264,99.86,0.1
214,372346,0.004931593459926317,99.866,0.1
215,372395,0.0043748451007187975,99.866,0.1
216,372444,0.004531190497800708,99.866,0.1
217,372493,0.004666819807370098,99.856,0.1
218,372542,0.004143785979902866,99.87,0.1
219,372591,0.00442577300270145,99.858,0.1
220,372640,0.0040815940521163295,99.882,0.1
221,372689,0.004312302594130136,99.842,0.1
222,372738,0.004449531089096349,99.87,0.1
223,372787,0.0037537506194690205,99.876,0.1
224,372836,0.004358138126435177,99.864,0.1
225,372885,0.004179504479053526,99.884,0.1
226,372934,0.0038007231921014586,99.904,0.1
227,372983,0.004200499048646615,99.874,0.1
228,373032,0.0040067674672915315,99.876,0.1
229,373081,0.0040267809348808106,99.878,0.1
230,373130,0.0039691764276892855,99.882,0.1
231,373179,0.004254962507711381,99.864,0.1
232,373228,0.004567878038090255,99.876,0.1
233,373277,0.004870913003343253,99.838,0.1
234,373326,0.004128545905197305,99.864,0.1
235,373375,0.004694427629666669,99.864,0.1
236,373424,0.004794389957429043,99.846,0.1
