Epoch,Steps,Train Loss,Train Accuracy,Learning Rate
1,391,nan,1.002,0.005050762722761054
2,782,nan,1.0,0.003573708449459316
3,1173,nan,1.0,0.002918542027088895
4,1564,nan,1.0,0.0025278006958277936
5,1955,nan,1.0,0.0022610781582306726
6,2346,nan,1.0,0.0020641604625120285
7,2737,nan,1.0,0.0019110994086122904
8,3128,nan,1.0,0.0017877106130964522
9,3519,nan,1.0,0.0016854996561581053
10,3910,nan,1.0,0.001599028086295533
11,4301,nan,1.0,0.0015246311791544942
12,4692,nan,1.0,0.001459737358487445
13,5083,nan,1.0,0.001402481783633036
14,5474,nan,1.0,0.001351474756798972
15,5865,nan,1.0,0.001305656606809861
16,6256,nan,1.0,0.0012642033083308357
17,6647,nan,1.0,0.0012264631233838454
18,7038,nan,1.0,0.0011919128924676387
19,7429,nan,1.0,0.001160127156904977
20,7820,nan,1.0,0.0011307558859212639
21,8211,nan,1.0,0.0011035081109799505
22,8602,nan,1.0,0.0010781397008087924
23,8993,nan,1.0,0.0010544440933536734
24,9384,nan,1.0,0.0010322451749586238
25,9775,nan,1.0,0.0010113917425784186
26,10166,nan,1.0,0.0009917531492458433
27,10557,nan,1.0,0.0009732158451573789
28,10948,nan,1.0,0.0009556806045151166
29,11339,nan,1.0,0.000939060283031685
30,11730,nan,1.0,0.0009232779901187741
31,12121,nan,1.0,0.0009082655880772973
32,12512,nan,1.0,0.0008939624513261415
33,12903,nan,1.0,0.0008803144340460587
34,13294,nan,1.0,0.0008672730060902922
35,13685,nan,1.0,0.0008547945256808829
36,14076,nan,1.0,0.0008428396240155984
37,14467,nan,1.0,0.000831372681988106
38,14858,nan,1.0,0.000820361383158088
39,15249,nan,1.0,0.0008097763301789161
40,15640,nan,1.0,0.0007995907143046049
41,16031,nan,1.0,0.0007897800295082044
42,16422,nan,1.0,0.0007803218242652115
43,16813,nan,1.0,0.0007711954852744357
44,17204,nan,1.0,0.000762382048370763
45,17595,nan,1.0,0.0007538640326797195
46,17986,nan,1.0,0.0007456252947113686
47,18377,nan,1.0,0.00073765089962096
48,18768,nan,1.0,0.0007299270072992701
49,19159,nan,1.0,0.0007224407713151683
50,19550,nan,1.0,0.0007151802490310842
51,19941,nan,1.0,0.0007081343214602488
52,20332,nan,1.0,0.0007012926216420129
53,20723,nan,1.0,0.0006946454704855476
54,21114,nan,1.0,0.0006881838191787124
55,21505,nan,1.0,0.0006818991973826144
56,21896,nan,1.0,0.000675783666537253
57,22287,nan,1.0,0.0006698297776928041
58,22678,nan,1.0,0.0006640305333571385
59,23069,nan,1.0,0.0006583793529151996
60,23460,nan,1.0,0.000652870041231653
61,23851,nan,1.0,0.0006474967600961926
